Country,Diseases_Count,Gini_Across_Diseases,CV_Across_Diseases,PBR_Range,Mean_PBR,Total_Participants
MEX,16,0.8204006015106758,2.8998093171821817,12.474570651472908,1.0271992703146482,21209.244895753553
LVA,9,0.8157538183128641,2.236962213388459,4.064285166124395,0.5595746150704681,2634.672006365
LUX,5,0.7903612898391031,1.9607894510708213,19.99377412317362,4.063842536386637,27139.462570196003
BEN,8,0.757116518540518,2.0385893489088827,16.09590945560828,2.5472899941406792,12051.304421206863
BGR,13,0.7515072387825728,1.6812049628877548,4.6926159676772645,0.9452295305391978,1978.9278593619883
NIC,7,0.7490777960317209,1.7798999943989093,19.99617967072552,3.790872660704049,26578.765850476
ECU,10,0.7330095957473063,1.9040539384055601,12.911882896767242,1.957902995105759,3904.088133894
BHR,6,0.7327080641735879,1.7265095821305378,1.885687441343153,0.3919109880334856,714.7462015051666
PER,15,0.7263423583974068,1.8928057098396454,11.345956399632382,1.5492374942587135,13538.40805600181
SAU,16,0.7141436625011885,1.8755641595533525,16.745307258659807,2.2476875876449727,15881.807512364961
PAN,6,0.6973243230472023,1.4380859730031599,19.98929708515586,5.351074855546652,10304.923260443
PHL,13,0.6875864792214572,1.5762943310199589,5.158138465643596,0.8914518763584925,29110.42747435205
EST,13,0.6774508146982139,1.5385785814508108,7.925154923184609,1.4226564703160354,4011.4438328548954
CUB,12,0.6701035675599778,1.5349975657987107,19.966639843880035,3.5217319567224643,12882.5
LTU,13,0.6657901610111824,1.8662843700446454,18.492503586019524,2.528181541592349,12972.408822701467
COL,15,0.6631769307278267,1.838652485953628,6.767292897329842,0.9114936057621446,13335.72224147276
DOM,4,0.6622586790709957,1.4276865084139847,6.174482205374642,1.8114489453809026,1295.2929880545
MUS,3,0.6615382216270728,1.3999025816843256,13.4431339352467,4.51578306295588,5415.652453282
PRI,12,0.6505196632735778,1.6291346433007443,5.066388653730831,0.8202758256648615,2687.281392305091
BFA,8,0.6502572357078192,1.430417157883695,8.940509816628612,1.9757899651422637,14053.785800707927
