Step,Reduction_mean,Reduction_ci_lower,Reduction_ci_upper,Cumulative_mean,Cumulative_ci_lower,Cumulative_ci_upper,Countries_Pct,N_countries
"Baseline
Inequality",0.0,0.0,0.0,0.0,0.0,0.0,0,0
"Top 25%
Adjusted",40.47165071630567,31.31470056652762,48.690266094379666,40.47165071630567,39.811444165544444,41.13185726706689,25,45
"Top 50%
Adjusted",70.10625135365319,62.14724057497476,77.37651608126897,70.10625135365319,69.54553245031587,70.66697025699051,50,90
"Top 75%
Adjusted",91.28710646032276,83.91760884098531,96.85966354211426,91.28710646032276,90.82532335236782,91.7488895682777,75,135
"All Countries
Aligned",100.0,95.0,105.0,100.0,95.0,105.0,100,180
