Period,Gini_All,Gini_Reduced,Inequality_Reduction
2000,0.7440999001438233,0.7394456815641843,0.6254830270423904
2002,0.751881636894687,0.7255037947792864,3.508243960358252
2004,0.7850877360403075,0.7672292900620923,2.2747070369850104
2006,0.7709694755476713,0.748726005412331,2.885129806149485
2008,0.7840881024984137,0.7590574611336145,3.1923251079874406
2010,0.7997464352589616,0.7771341998798875,2.827425591681711
2012,0.818785695766326,0.8041115866186033,1.7921794705986867
2014,0.8023869449591965,0.7854460810125086,2.111308521794234
2016,0.8160838060221589,0.8041768040942678,1.4590415641169778
2018,0.8074875337817562,0.7894607948009789,2.232447960695021
2020,0.7988570867061511,0.7803986189372609,2.3106095040100523
2022,0.8303574625485717,0.8206682156577887,1.1668765956584892
2024,0.8244451701476387,0.7948659113147782,3.5877775628867536
