Step,S1_Density,S1_Modularity,S1_Assortativity,S1_Homophily,S2_Density,S2_Modularity,S2_Assortativity,S2_Homophily,S1_Density_lower,S1_Density_upper,S1_Modularity_lower,S1_Modularity_upper,S1_Assortativity_lower,S1_Assortativity_upper,S1_Homophily_lower,S1_Homophily_upper,S2_Density_lower,S2_Density_upper,S2_Modularity_lower,S2_Modularity_upper,S2_Assortativity_lower,S2_Assortativity_upper,S2_Homophily_lower,S2_Homophily_upper
Baseline,0.24792873051224945,0.1898769094293835,-0.2516655399694178,0.4577394498343115,0.24792873051224945,0.1898769094293835,-0.2516655399694178,0.4577394498343115,0.2231358574610245,0.2727216035634744,0.17088921848644517,0.20886460037232185,0,-0.2768320939663596,0.41196550485088035,0.5035133948177426,0.2231358574610245,0.2727216035634744,0.17088921848644517,0.20886460037232185,0,-0.2768320939663596,0.41196550485088035,0.5035133948177426
Step 1,0.29809915543139365,0.16682301355683066,-0.23129490030747235,0.3836375653032388,0.2919062359710364,0.16966873233669502,-0.2338094042405305,0.3927845279510779,0.2533842821166846,0.3428140287461027,0.14179956152330606,0.19184646559035526,0,-0.2659891353535932,0.326091930507753,0.4411832000987246,0.24812030057538093,0.3356921713666918,0.14421842248619077,0.19511904218719928,0,-0.2688808148766101,0.3338668487584162,0.45170220714373954
Step 2,0.334835500007669,0.14994223441324991,-0.21637888476512007,0.3293778621360428,0.3145869944769235,0.1592466590585052,-0.2246003620702153,0.35928497217515953,0.28461017500651864,0.38506082500881933,0.12745089925126243,0.1724335695752374,0,-0.24883571747988809,0.2799711828156364,0.37878454145644924,0.267398945305385,0.361775043648462,0.13535966019972942,0.183133657917281,0,-0.25829041638074757,0.30539222634888563,0.41317771800143344
Step 3,0.3610922125964714,0.13787696849307193,-0.2057179020902521,0.290596610281854,0.34097056947383897,0.1471230983809778,-0.21388786959836067,0.3203163441220951,0.3069283807070007,0.4152560444859421,0.11719542321911114,0.15855851376703273,0,-0.2365755874037899,0.24700711873957593,0.3341861018241321,0.28982498405276313,0.3921161548949148,0.12505463362383115,0.16919156313812447,0,-0.24597105003811476,0.27226889250378083,0.36836379574040934
Final,0.37189309576837415,0.13291383660056846,-0.20133243197553427,0.27464366990058686,0.3637133244480225,0.13667253700194226,-0.2046536550736551,0.2867252193562302,0.316109131403118,0.42767706013363027,0.11297676111048319,0.15285091209065374,0,-0.2315322967718644,0.23344711941549884,0.3158402203856749,0.30915632578081914,0.4182703231152259,0.11617165645165092,0.1571734175522336,0,-0.23535170333470337,0.24371643645279567,0.3297340022596647
