Step,Reduction_mean,Reduction_ci_lower,Reduction_ci_upper,Cumulative_mean,Cumulative_ci_lower,Cumulative_ci_upper,Countries_Pct,N_countries
"Baseline
Inequality",0.0,0.0,0.0,0.0,0.0,0.0,0,0
"Top 10%
Adjusted",22.172453232792076,13.648490045449083,29.098811939277898,22.172453232792076,21.61060015103103,22.734306314553123,10,18
"Top 20%
Adjusted",33.60757334726311,24.92385696665477,44.33321718437615,33.60757334726311,32.95502074608397,34.26012594844226,20,36
"Top 30%
Adjusted",46.909568915910974,35.47138344457801,56.196001547132774,46.909568915910974,46.22591964914677,47.59321818267518,30,54
"Top 40%
Adjusted",58.375946232889525,50.10542996441164,67.40587251163383,58.375946232889525,57.74198953003293,59.00990293574612,40,72
