Variable,Shapley_R2_Contribution,Pct_Contribution
log_population,0.15980568370123063,29.114073471365938
log_medical_school,0.07235901207521671,13.182670009484095
log_hospital_beds_per_capita,0.07016829976815422,12.7835568015854
log_total_publications,0.06030195783015046,10.986065013910961
log_total_citations,0.0563350081964308,10.26334939818075
rd_expenditure,0.038093676664975026,6.940066683060037
log_health_expenditure_per_capita,0.020317274591859648,3.701486777599282
log_doctors_per_10k,0.016719608303001763,3.046048759167536
log_gdp_per_capita,0.012899163428497522,2.3500239983863693
democracy_index,0.008344212942212713,1.520183907316387
hdi,0.008061930254930363,1.4687564567596356
log_researchers_per_million,0.007952096524785894,1.4487464845546505
uhc_index,0.005032711140975488,0.9168805421993504
sanitation,0.004534047798965276,0.8260319513325516
foreign_aid_received,0.004191227801025572,0.763575558191178
trust_scientists,0.002254469838575555,0.41072882390078447
altruism,0.0015245852055147074,0.2777553630050951
