Block,Variables,HVP_R2_Contribution,HVP_Pct_Contribution,Shapley_R2_Contribution,Shapley_Pct_Contribution
Economic,"log_gdp_per_capita, log_population",0.2991136360682941,80.64895454537839,0.2502336701671271,67.469621767508
Research,rd_expenditure,0.060204703930828884,16.232781943872258,0.1066841308648756,28.76486586813475
Health,log_doctors_per_10k,0.011184284381535736,3.0155791443193003,0.012505386050977847,3.3717831271572267
Governance,altruism,0.00038083933491017685,0.10268436643005555,0.0014602766325883623,0.3937292372000307
