Variable,Coefficient,Std_Error,t_value,p_value
const,-6.938893903907228e-17,0.08714738598677335,-7.962251334722039e-16,0.9999999999999993
PC_Research,0.1672910369752699,0.07401704339495213,2.2601691354058993,0.02496360934974209
PC_Health,-0.34305272675514853,0.11460124850443848,-2.9934466790897325,0.0031312423216174885
PC_Governance,0.2578965463169988,0.11160226458177577,2.310854060922993,0.021931702129543325
