Variable,Coefficient,Std_Error,t_value,p_value,CI_2.5,CI_97.5
const,-0.9587454467117598,0.07609955422698005,-12.598568499522823,2.558259600475721e-26,-1.1089364752829596,-0.80855441814056
log_gdp_per_capita,-0.7730785971871839,0.3665890197008318,-2.1088427520771966,0.03638122096048879,-1.4965832548827418,-0.04957393949162592
log_population,1.2836639376600054,0.14588129680586293,8.799372954356787,1.2873250551698933e-15,0.9957507923185427,1.5715770830014681
foreign_aid_received,0.0023423722827004834,0.12586182496717283,0.01861066517438007,0.9851728962268984,-0.24606009395626852,0.2507448385216695
rd_expenditure,0.10759020797553773,0.13502616320767238,0.7968100805031562,0.4266410312183756,-0.1588991104204052,0.3740795263714807
log_total_publications,-0.820172625035377,0.6689976744071587,-1.2259723111327465,0.22185628265242785,-2.140514772260845,0.5001695221900911
log_total_citations,0.9894795349691176,0.6632664208145258,1.4918281763065662,0.1375446638138758,-0.3195513387433352,2.29851040868157
log_researchers_per_million,-0.18645595071448084,0.17136278421205065,-1.0880772716890112,0.2780572376028101,-0.5246596771498151,0.1517477757208534
log_health_expenditure_per_capita,1.055797177551874,0.3806714514851204,2.773512890007573,0.006146973209365158,0.30449925699228475,1.8070950981114633
uhc_index,0.03913198337747403,0.24399530533533886,0.16038006683650066,0.8727666680205914,-0.44242019188962095,0.520684158644569
log_medical_school,-0.7009752240590068,0.11477801730125423,-6.10722541250368,6.3769809809171066e-09,-0.9275025493626631,-0.47444789875535054
sanitation,-0.16502279034872677,0.14117725134696743,-1.1689049671547636,0.24403169204510305,-0.4436519729509346,0.11360639225348104
hdi,0.19308503785102954,0.34925256448932135,0.5528521691268304,0.5810701480841061,-0.49620417579305515,0.8823742514951143
democracy_index,0.09520193370650015,0.11793530902855201,0.8072385996245778,0.42062482758936726,-0.1375566618961623,0.32796052930916264
altruism,0.11180554425198509,0.08715056427855726,1.282900979213671,0.2012232591317919,-0.06019589547414107,0.28380698397811127
trust_scientists,-0.03953325638583634,0.11521640227801394,-0.3431217743671921,0.7319186829636147,-0.26692578374275716,0.1878592709710845
