Variable,Coefficient,Std_Error,t_value,p_value,CI_2.5,CI_97.5
const,-0.9587454467117598,0.0780178296070359,-12.288799259615612,1.154967758992791e-25,-1.1126811840574202,-0.8048097093660993
log_gdp_per_capita,0.13485427897631697,0.16787339779572089,0.8033094030801491,0.4228437928323949,-0.19637404922207702,0.46608260717471095
log_population,1.2047854389951467,0.13595490355168874,8.861654912925585,7.079716675595289e-16,0.9365349835620724,1.473035894428221
log_total_publications,-1.3825818014122218,0.6306165930209254,-2.192428516333607,0.029617175617734512,-2.6268413600033,-0.1383222428211437
log_total_citations,1.6835964199070883,0.6090488111717468,2.7643045828593333,0.006291513903213551,0.48189190826599937,2.8853009315481772
log_researchers_per_million,-0.0105280840108114,0.1535376707972332,-0.06857003858496152,0.9454071446996097,-0.3134708175315078,0.292414649509885
log_medical_school,-0.6548322989800482,0.10575429572436448,-6.192016073623976,3.8482942592116755e-09,-0.8634944159832743,-0.44617018197682223
sanitation,-0.09877806164401863,0.13396625983611443,-0.7373353691060515,0.46186793807892423,-0.3631047558264064,0.1655486325383691
democracy_index,0.23614028964068084,0.10594384614472717,2.2289193590168104,0.027042952921536734,0.02710417372118562,0.44517640556017607
