Index,Variables,GDP_Coeff,GDP_p,R2,IsValidStory
91,"log_doctors_per_10k, democracy_index",,,0.021329225131703877,False
92,"log_doctors_per_10k, altruism",,,0.0006517532945080617,False
93,"log_doctors_per_10k, trust_scientists",,,0.0060161520528924095,False
94,"uhc_index, hdi",,,0.012595364126355424,False
95,"uhc_index, democracy_index",,,0.015111982632410648,False
96,"uhc_index, altruism",,,0.0005025457909675346,False
97,"uhc_index, trust_scientists",,,0.0016995760525326808,False
98,"log_medical_school, hdi",,,0.0097779386467568,False
99,"log_medical_school, democracy_index",,,0.020761391566234244,False
100,"log_medical_school, altruism",,,0.008001296466463081,False
101,"log_medical_school, trust_scientists",,,0.008245128803866186,False
102,"sanitation, hdi",,,0.006955476751200007,False
103,"sanitation, democracy_index",,,0.0148893520208766,False
104,"sanitation, altruism",,,0.00731024124878632,False
105,"sanitation, trust_scientists",,,0.007003345160988883,False
106,"log_gdp_per_capita, rd_expenditure, log_health_expenditure_per_capita",-0.7125708144396137,0.033011550294917265,0.18732148716863672,False
107,"log_gdp_per_capita, rd_expenditure, log_hospital_beds_per_capita",-0.3370160059530145,0.002287875089607131,0.2788026557963994,False
108,"log_gdp_per_capita, rd_expenditure, log_doctors_per_10k",-0.17693688158376442,0.3574659102611677,0.18666748550394818,False
109,"log_gdp_per_capita, rd_expenditure, uhc_index",-0.2913475840036741,0.155779815078859,0.1817812674457464,False
110,"log_gdp_per_capita, rd_expenditure, log_medical_school",-0.3524746650452371,0.0028229465012830288,0.18261557739763545,False
111,"log_gdp_per_capita, rd_expenditure, sanitation",-0.26967898965916764,0.09033778481003803,0.18353323574327673,False
112,"log_gdp_per_capita, log_total_publications, log_health_expenditure_per_capita",-0.9856917052020505,0.002159120347576117,0.24040588046900613,False
113,"log_gdp_per_capita, log_total_publications, log_hospital_beds_per_capita",-0.30140949784490323,0.007744128440476559,0.25349185437349964,False
114,"log_gdp_per_capita, log_total_publications, log_doctors_per_10k",-0.07936468570003999,0.6567038665926296,0.2402410401023818,False
115,"log_gdp_per_capita, log_total_publications, uhc_index",-0.2229185530514074,0.2533865512137834,0.22635222422943213,False
116,"log_gdp_per_capita, log_total_publications, log_medical_school",-0.42751209041662175,0.00013526885154446685,0.267002495302593,False
117,"log_gdp_per_capita, log_total_publications, sanitation",-0.3620346815667238,0.021886512756919968,0.22291048092787735,False
118,"log_gdp_per_capita, log_total_citations, log_health_expenditure_per_capita",-0.9048315278111624,0.004735788777871122,0.2435637558410374,False
119,"log_gdp_per_capita, log_total_citations, log_hospital_beds_per_capita",-0.3583849088425117,0.0019418990888665562,0.27021632773577486,False
120,"log_gdp_per_capita, log_total_citations, log_doctors_per_10k",-0.15799574582574252,0.38153930757947263,0.24821717626138207,False
121,"log_gdp_per_capita, log_total_citations, uhc_index",-0.28239006195754557,0.1491993110982874,0.23663345742763908,False
122,"log_gdp_per_capita, log_total_citations, log_medical_school",-0.4790418152543613,3.702248156329456e-05,0.26542544349620445,False
123,"log_gdp_per_capita, log_total_citations, sanitation",-0.4093039349214004,0.009845321756668362,0.23323898320025505,False
124,"log_gdp_per_capita, log_researchers_per_million, log_health_expenditure_per_capita",-1.0604905717883781,0.0031211695897901924,0.06275023217986597,False
125,"log_gdp_per_capita, log_researchers_per_million, log_hospital_beds_per_capita",-0.09258458217558642,0.5891413575823488,0.1971224070770956,False
126,"log_gdp_per_capita, log_researchers_per_million, log_doctors_per_10k",-0.03854234147545846,0.860650030734764,0.05707792135385903,False
127,"log_gdp_per_capita, log_researchers_per_million, uhc_index",-0.19136491402374944,0.4303288678638688,0.03532294052777796,False
128,"log_gdp_per_capita, log_researchers_per_million, log_medical_school",-0.30197197145738286,0.10268951668362877,0.034607437558807685,False
129,"log_gdp_per_capita, log_researchers_per_million, sanitation",-0.3571149425968955,0.0845611895734158,0.03364018554686066,False
130,"log_population, rd_expenditure, log_health_expenditure_per_capita",,,0.3590483890758319,False
131,"log_population, rd_expenditure, log_hospital_beds_per_capita",,,0.3616345497227057,False
132,"log_population, rd_expenditure, log_doctors_per_10k",,,0.36674907923874134,False
133,"log_population, rd_expenditure, uhc_index",,,0.35926688769939497,False
134,"log_population, rd_expenditure, log_medical_school",,,0.43920475610104903,False
135,"log_population, rd_expenditure, sanitation",,,0.3601763509624839,False
136,"log_population, log_total_publications, log_health_expenditure_per_capita",,,0.3248551931433714,False
137,"log_population, log_total_publications, log_hospital_beds_per_capita",,,0.31364016852031984,False
138,"log_population, log_total_publications, log_doctors_per_10k",,,0.31939425658893605,False
139,"log_population, log_total_publications, uhc_index",,,0.3123719692079202,False
140,"log_population, log_total_publications, log_medical_school",,,0.43544347641684666,False
141,"log_population, log_total_publications, sanitation",,,0.3130029744835833,False
142,"log_population, log_total_citations, log_health_expenditure_per_capita",,,0.3309612642308467,False
143,"log_population, log_total_citations, log_hospital_beds_per_capita",,,0.328676753414357,False
144,"log_population, log_total_citations, log_doctors_per_10k",,,0.33776546658801265,False
145,"log_population, log_total_citations, uhc_index",,,0.3275304955931796,False
146,"log_population, log_total_citations, log_medical_school",,,0.45275844075971494,False
147,"log_population, log_total_citations, sanitation",,,0.3262023504384348,False
148,"log_population, log_researchers_per_million, log_health_expenditure_per_capita",,,0.3346350090716017,False
149,"log_population, log_researchers_per_million, log_hospital_beds_per_capita",,,0.2958052436842459,False
150,"log_population, log_researchers_per_million, log_doctors_per_10k",,,0.30242097174768034,False
151,"log_population, log_researchers_per_million, uhc_index",,,0.29635162757985434,False
152,"log_population, log_researchers_per_million, log_medical_school",,,0.3924234310657687,False
153,"log_population, log_researchers_per_million, sanitation",,,0.29967008759185476,False
154,"foreign_aid_received, rd_expenditure, log_health_expenditure_per_capita",,,0.1738798403090699,False
155,"foreign_aid_received, rd_expenditure, log_hospital_beds_per_capita",,,0.249507299557564,False
