Variable,Coefficient,Std_Error,t_value,p_value,CI_2.5,CI_97.5
const,-0.95874544671176,0.09470303358323849,-10.123703649567657,1.819108976007686e-19,-1.1455756021601737,-0.7719152912633461
log_gdp_per_capita,0.05608591731744236,0.09470303358323842,0.5922293636786843,0.5544162417280742,-0.13074423813097136,0.24291607276585608
resid_log_total_citations,0.7135751173455936,0.09669746787602564,7.379460217722118,5.126819386353756e-12,0.5228103416970195,0.9043398929941678
resid_sanitation,-0.01753617123176941,0.09678704178062211,-0.18118304794888723,0.8564211802642605,-0.2084776582895422,0.1734053158260034
resid_altruism,-0.015056936938649002,0.09479262703413069,-0.15884080238885728,0.87396663598036,-0.20206384235719596,0.17194996847989794
