N_Vars,Total_R2,GDP_Coef,GDP_p,HVP_Eco,HVP_Res,HVP_Hea,HVP_Gov,Shap_Eco,Shap_Res,Shap_Hea,Shap_Gov,HVP_Aligned,Shap_Aligned,Both_Aligned,Variables_Economic,Variables_Research,Variables_Health,Variables_Governance
5,0.3711209918720004,0.18077095016636807,0.308292288508688,0.2991136360682941,0.060204703930828884,0.011184284381535736,0.0006183674913416981,0.24872761742260308,0.10775521687386684,0.011172020983273512,0.003466136592257002,True,True,True,"log_gdp_per_capita, log_population",rd_expenditure,log_doctors_per_10k,trust_scientists
6,0.3835787311540948,0.22635058153259893,0.21254929546491255,0.2991136360682941,0.07264644841917267,0.011359644351303322,0.00045900231532469693,0.22798557526122837,0.13654337950805295,0.015300073460765127,0.003749702924048313,True,True,True,"log_gdp_per_capita, log_population","log_total_publications, log_total_citations",log_doctors_per_10k,trust_scientists
7,0.49162494010857083,0.03639948574133088,0.7607696473866243,0.2991136360682941,0.09242242399738354,0.08805859108870229,0.012030288954190893,0.29274854492204894,0.12609523752230312,0.05541265036534648,0.017368507298872255,True,True,True,"log_gdp_per_capita, log_population","rd_expenditure, log_total_publications, log_total_citations",log_medical_school,democracy_index
8,0.49443989787402387,0.12047914319926974,0.4093352856088681,0.2991136360682941,0.09242242399738354,0.09130108443335361,0.011602753374992614,0.2767242792306629,0.13495161188597093,0.06628722234622919,0.016476784411160895,True,True,True,"log_gdp_per_capita, log_population","rd_expenditure, log_total_publications, log_total_citations","log_medical_school, sanitation",democracy_index
9,0.49747195300083,0.1060295756734891,0.4695618302333473,0.2991136360682941,0.09242242399738354,0.09130108443335361,0.014634808501798768,0.2775388420798123,0.13440067182250387,0.06691257984141541,0.01861985925709847,True,True,True,"log_gdp_per_capita, log_population","rd_expenditure, log_total_publications, log_total_citations","log_medical_school, sanitation","democracy_index, altruism"
10,0.49768595291153417,0.13091072767997491,0.447617043685705,0.2991136360682941,0.09483566965295753,0.08917436566586345,0.014562281524419074,0.2645303317450887,0.15554556310912654,0.05974087245804523,0.01786918559927364,True,True,True,"log_gdp_per_capita, log_population","rd_expenditure, log_total_publications, log_total_citations, log_researchers_per_million","log_medical_school, sanitation","democracy_index, altruism"
11,0.497904468377359,0.10417288043301647,0.5981112661007141,0.2991136360682941,0.09483566965295753,0.08929253155340766,0.01466263110269972,0.2577793870324645,0.15183949947600991,0.0694154113246635,0.01887017054422104,True,True,True,"log_gdp_per_capita, log_population","rd_expenditure, log_total_publications, log_total_citations, log_researchers_per_million","log_doctors_per_10k, log_medical_school, sanitation","democracy_index, altruism"
12,0.4979064816279145,0.105374213415837,0.6041215948670043,0.2991136360682941,0.09483566965295753,0.08929253155340766,0.014664644353255207,0.25815983509974216,0.15238354894755754,0.06698208403421721,0.020381013546397608,True,True,True,"log_gdp_per_capita, log_population","rd_expenditure, log_total_publications, log_total_citations, log_researchers_per_million","log_doctors_per_10k, log_medical_school, sanitation","democracy_index, altruism, trust_scientists"
13,0.41958781894822694,0.13602663092931117,0.587407095975566,0.30617530485202893,0.08778079536600536,0.013797045947298692,0.011834672782893962,0.17377478419337267,0.12389855046921566,0.10344529537599705,0.01846918890964159,True,True,True,"log_gdp_per_capita, log_population, foreign_aid_received","rd_expenditure, log_total_publications, log_total_citations, log_researchers_per_million","log_hospital_beds_per_capita, log_doctors_per_10k, uhc_index, sanitation","democracy_index, altruism"
